Program,Homo
Version,1.3
Input file,Dataset16_tree_order.aln
Data,Amino acids
Sequences,70


Seq. 1.,Seq. 2.,Chi-square,df,p,d_EMS,d_EFS,d_AMS,d_AFS,Sites
Allomyces_macrogynus,Petromyzon_marinus,314.751345,187,1.468733e-08,2.394570e-02,1.160154e-02,6.776292e-01,1.175045e+01,2434
Allomyces_macrogynus,Danio_rerio,756.033939,189,7.948667e-69,3.505138e-02,1.497151e-02,8.293529e-01,1.085350e+01,4682
Allomyces_macrogynus,Homo_sapiens,708.446811,190,7.793820e-61,3.260269e-02,1.452203e-02,7.555942e-01,1.001008e+01,4817
Allomyces_macrogynus,Lottia_gigantea,1055.399303,188,1.060873e-120,4.309761e-02,1.943810e-02,1.004276e+00,1.171215e+01,4810
Allomyces_macrogynus,Capitella_teleta,774.669548,187,1.660628e-72,3.547299e-02,1.513094e-02,8.384044e-01,1.034767e+01,4806
Allomyces_macrogynus,Tubulanus_polymorphus,918.118906,189,3.690906e-96,4.113883e-02,1.848516e-02,9.588620e-01,1.092207e+01,4575
Allomyces_macrogynus,Hemithiris_psittacea,781.939315,189,4.349327e-73,3.781084e-02,1.717126e-02,8.779564e-01,1.165993e+01,4170
Allomyces_macrogynus,Priapulus_caudatus,344.496638,186,1.415321e-11,2.980817e-02,1.373522e-02,6.812604e-01,1.140872e+01,2232
Allomyces_macrogynus,Lithobius_forficatus,710.971811,189,1.581433e-61,3.407908e-02,1.577544e-02,7.772062e-01,1.161036e+01,4116
Allomyces_macrogynus,Drosophila_melanogaster,727.141144,189,3.959849e-64,3.311562e-02,1.472024e-02,7.812908e-01,1.051025e+01,5103
Allomyces_macrogynus,Daphnia_pulex,675.047434,189,7.993331e-56,3.281217e-02,1.477449e-02,7.727886e-01,1.016005e+01,4798
Allomyces_macrogynus,Eunicella_verrucosa,752.705875,187,6.888863e-69,3.574582e-02,1.588770e-02,7.995403e-01,1.133480e+01,4353
Allomyces_macrogynus,Acropora_digitifera,534.695809,190,1.541514e-34,3.024645e-02,1.368070e-02,7.099646e-01,1.129277e+01,3533
Allomyces_macrogynus,Platygyra_carnosa,436.926000,189,1.110186e-21,2.586564e-02,1.183987e-02,6.266179e-01,1.034821e+01,3471
Allomyces_macrogynus,Nematostella_vectensis,722.723243,188,1.039128e-63,3.421369e-02,1.532823e-02,8.037231e-01,1.076202e+01,4491
Allomyces_macrogynus,Bolocera_tuediae,313.113249,177,1.243524e-09,2.817875e-02,1.433599e-02,7.468547e-01,1.635349e+01,1267
Allomyces_macrogynus,Aiptasia_pallida,605.343682,189,4.290354e-45,3.759449e-02,1.737669e-02,8.438770e-01,1.205379e+01,3243
Allomyces_macrogynus,Hormathia_digitata,357.921118,179,4.975834e-14,3.158799e-02,1.477868e-02,7.652301e-01,1.403594e+01,1646
Allomyces_macrogynus,Aurelia_aurita,378.770484,180,3.084167e-16,2.875536e-02,1.483042e-02,7.295192e-01,1.311410e+01,2035
Allomyces_macrogynus,Periphylla_periphylla,435.905721,183,1.111450e-22,3.485248e-02,1.736977e-02,7.727249e-01,1.311756e+01,1969
Allomyces_macrogynus,Hydra_viridissima,522.396634,186,1.039267e-33,4.006603e-02,1.889053e-02,9.092007e-01,1.410467e+01,2191
Allomyces_macrogynus,Hydra_vulgaris,1062.587613,189,1.304521e-121,4.459177e-02,2.031747e-02,1.045290e+00,1.269010e+01,4378
Allomyces_macrogynus,Hydra_oligactis,518.108243,180,1.777371e-34,4.321448e-02,2.044646e-02,9.934348e-01,1.581151e+01,1754
Allomyces_macrogynus,Physalia_physalis,768.124343,188,4.073393e-71,4.137112e-02,1.907101e-02,9.689269e-01,1.191072e+01,3521
Allomyces_macrogynus,Nanomia_bijuga,760.482955,188,7.359300e-70,4.225424e-02,1.862776e-02,9.999993e-01,1.298115e+01,3324
Allomyces_macrogynus,Agalma_elegans,702.006826,189,4.289960e-60,3.809452e-02,1.778638e-02,9.390763e-01,1.148769e+01,3692
Allomyces_macrogynus,Abylopsis_tetragona,786.652480,189,7.214126e-74,3.756796e-02,1.722799e-02,9.136203e-01,1.237708e+01,4292
Allomyces_macrogynus,Craseoa_lathetica,645.224501,185,2.933731e-52,3.980245e-02,1.874621e-02,9.497945e-01,1.329841e+01,2854
Spizellomyces_punctatus,Mortierella_verticillata,240.139887,189,6.980067e-03,8.621800e-03,6.700412e-03,2.170710e-01,1.019464e+01,3680
Spizellomyces_punctatus,Rhizopus_oryzae,317.048789,186,6.863441e-09,1.197461e-02,8.577413e-03,3.120814e-01,1.139713e+01,2995
Spizellomyces_punctatus,Ministeria_vibrans,269.411194,189,1.097306e-04,1.130203e-02,7.045308e-03,4.248882e-01,1.050106e+01,3373
Spizellomyces_punctatus,Capsaspora_owczarzaki,266.319684,188,1.486215e-04,1.014724e-02,5.524289e-03,2.738687e-01,9.899438e+00,4300
Spizellomyces_punctatus,Sphaeroforma_arctica,240.661856,185,3.685255e-03,8.326804e-03,8.207823e-03,3.182895e-01,1.087283e+01,2283
Spizellomyces_punctatus,Amoebidium_parasiticum,213.921385,187,8.621175e-02,6.736214e-03,5.499829e-03,2.672631e-01,9.022837e+00,3783
Spizellomyces_punctatus,Salpingoeca_rosetta,269.663509,188,8.692366e-05,1.156071e-02,6.913263e-03,4.340485e-01,8.997295e+00,4529
Spizellomyces_punctatus,Monosiga_ovata,222.228766,177,1.191550e-02,1.585812e-02,1.038793e-02,4.368886e-01,1.389577e+01,1384
Spizellomyces_punctatus,Euplokamis_dunlapae,290.695052,186,1.398762e-06,1.602215e-02,1.012954e-02,6.139688e-01,1.340312e+01,2367
Spizellomyces_punctatus,Vallicula_sp,213.686248,184,6.607919e-02,1.474749e-02,8.887308e-03,4.481041e-01,1.029572e+01,2306
Spizellomyces_punctatus,Coeloplana_astericola,279.983572,189,1.887522e-05,1.900463e-02,1.097549e-02,5.570777e-01,1.134497e+01,2292
Spizellomyces_punctatus,Pleurobrachia_bachei,223.356032,188,3.971269e-02,1.466761e-02,8.982877e-03,4.760547e-01,1.125414e+01,2416
Spizellomyces_punctatus,Pleurobrachia_atlantica,304.873846,188,1.446089e-07,1.537065e-02,8.150304e-03,4.854657e-01,1.084206e+01,3492
Spizellomyces_punctatus,Dryodora_glandiformis,267.547966,186,8.314766e-05,1.466093e-02,8.818176e-03,5.031579e-01,1.121801e+01,2889
Spizellomyces_punctatus,Bolinopsis_infundibulum,223.315686,185,2.851572e-02,1.558320e-02,9.191217e-03,5.121368e-01,1.294517e+01,2014
Spizellomyces_punctatus,Mertensiidae_sp,238.994590,187,6.086436e-03,1.602841e-02,1.013549e-02,4.787316e-01,1.243404e+01,2204
Spizellomyces_punctatus,Mnemiopsis_leidyi,282.490260,187,7.928129e-06,1.565409e-02,9.569172e-03,5.216679e-01,1.160096e+01,2819
Spizellomyces_punctatus,Beroe_abyssicola,344.023691,188,2.962411e-11,1.789088e-02,9.348403e-03,5.622861e-01,1.066318e+01,3729
Spizellomyces_punctatus,Sycon_coactum,252.321253,189,1.420421e-03,8.518702e-03,6.185725e-03,4.700656e-01,9.775677e+00,3443
Spizellomyces_punctatus,Sycon_ciliatum,294.717439,188,1.045637e-06,9.354689e-03,5.777902e-03,4.450447e-01,1.028317e+01,4246
Spizellomyces_punctatus,Corticium_candelabrum,242.915836,187,3.696725e-03,8.806324e-03,8.878893e-03,4.184942e-01,1.213073e+01,2189
Spizellomyces_punctatus,Oscarella_carmela,234.486088,189,1.361719e-02,9.426578e-03,5.680499e-03,3.615795e-01,8.139446e+00,4339
Spizellomyces_punctatus,Hyalonema_populiferum,361.280905,184,1.223654e-13,2.953446e-02,1.725280e-02,7.778091e-01,1.314057e+01,1957
Spizellomyces_punctatus,Aphrocallistes_vastus,326.476120,190,2.754195e-09,1.916215e-02,9.901074e-03,5.209066e-01,7.938893e+00,4169
Spizellomyces_punctatus,Rossella_fibulata,306.536774,189,1.335186e-07,1.759783e-02,9.966309e-03,5.433705e-01,1.014697e+01,3343
Spizellomyces_punctatus,Sympagella_nux,331.008678,189,7.690367e-10,1.921962e-02,9.920588e-03,5.048619e-01,8.938495e+00,3912
Spizellomyces_punctatus,Chondrilla_nucula,236.998914,185,5.888342e-03,1.291156e-02,8.083333e-03,3.976035e-01,1.064936e+01,2633
Spizellomyces_punctatus,Ircinia_fasciculata,189.830215,175,2.099021e-01,1.109801e-02,8.402669e-03,3.640801e-01,1.506948e+01,1214
Spizellomyces_punctatus,Petrosia_ficiformis,278.475450,186,1.301200e-05,1.713213e-02,9.915530e-03,4.763153e-01,1.129760e+01,2607
Spizellomyces_punctatus,Amphimedon_queenslandica,283.430758,190,1.280934e-05,1.492729e-02,8.137392e-03,4.278264e-01,8.353990e+00,4029
Spizellomyces_punctatus,Ephydatia_muelleri,262.496081,189,3.231345e-04,1.000939e-02,6.573926e-03,4.169076e-01,8.345824e+00,4221
Spizellomyces_punctatus,Spongilla_alba,227.197060,180,9.831513e-03,1.180864e-02,9.932376e-03,3.477714e-01,1.396504e+01,1547
Spizellomyces_punctatus,Pseudospongosorites_suberitoides,216.412677,181,3.700224e-02,1.056445e-02,1.003036e-02,4.011325e-01,1.588817e+01,1207
Spizellomyces_punctatus,Tethya_wilhelma,197.394927,171,8.144285e-02,1.215197e-02,9.973797e-03,5.167537e-01,1.768885e+01,923
Spizellomyces_punctatus,Latrunculia_apicalis,281.927731,188,1.087929e-05,1.177115e-02,6.910415e-03,4.147193e-01,9.711631e+00,3896
Spizellomyces_punctatus,Kirkpatrickia_variolosa,276.462444,190,4.209682e-05,1.261669e-02,7.587808e-03,4.484396e-01,9.100431e+00,3836
Spizellomyces_punctatus,Crella_elegans,202.541173,187,2.070722e-01,1.242789e-02,9.235994e-03,4.137444e-01,1.368724e+01,1414
Spizellomyces_punctatus,Trichoplax_adhaerens,422.654102,190,9.636463e-20,1.949017e-02,1.071218e-02,5.783402e-01,9.633062e+00,4501
Spizellomyces_punctatus,Strongylocentrotus_purpuratus,243.556209,189,4.559271e-03,1.222779e-02,7.281779e-03,3.953570e-01,8.654622e+00,3715
Spizellomyces_punctatus,Saccoglossus_kowalevskii,251.370753,184,7.104112e-04,1.593949e-02,9.632061e-03,5.382788e-01,1.305578e+01,1704
Spizellomyces_punctatus,Petromyzon_marinus,252.055476,187,1.065279e-03,1.086418e-02,8.161186e-03,5.100311e-01,1.186882e+01,2369
Spizellomyces_punctatus,Danio_rerio,258.174457,189,6.159140e-04,1.149030e-02,6.526328e-03,4.371892e-01,8.221073e+00,4399
Spizellomyces_punctatus,Homo_sapiens,257.043854,189,7.262980e-04,9.797760e-03,6.109988e-03,3.886016e-01,8.846501e+00,4450
Spizellomyces_punctatus,Lottia_gigantea,429.863140,189,8.366419e-21,2.133443e-02,1.195226e-02,5.989148e-01,9.828096e+00,4383
Spizellomyces_punctatus,Capitella_teleta,288.342297,188,3.433611e-06,1.352630e-02,7.609582e-03,4.891224e-01,8.592877e+00,4508
Spizellomyces_punctatus,Tubulanus_polymorphus,367.530502,190,2.006673e-13,1.838493e-02,1.112841e-02,5.489551e-01,9.232623e+00,4220
Spizellomyces_punctatus,Hemithiris_psittacea,324.822507,188,2.244465e-09,1.453913e-02,9.666634e-03,4.963561e-01,1.012831e+01,3772
Spizellomyces_punctatus,Priapulus_caudatus,164.956646,182,8.126211e-01,9.079932e-03,7.925953e-03,2.997245e-01,1.153589e+01,1863
Spizellomyces_punctatus,Lithobius_forficatus,299.814996,189,5.002014e-07,1.272933e-02,7.885168e-03,4.309110e-01,1.009071e+01,3867
Spizellomyces_punctatus,Drosophila_melanogaster,259.054397,189,5.411390e-04,1.039572e-02,6.775534e-03,3.804177e-01,8.898066e+00,4739
Spizellomyces_punctatus,Daphnia_pulex,226.762128,190,3.514534e-02,1.019061e-02,6.632492e-03,3.767348e-01,8.346846e+00,4475
Spizellomyces_punctatus,Eunicella_verrucosa,301.625745,189,3.519583e-07,1.445856e-02,7.699786e-03,4.208449e-01,1.021016e+01,4028
